Book_ID,Book_Title,Price,Availability,Star_Rating,Book_URL
1,In Her Wake,Â£12.84,In stock,One,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
2,How Music Works,Â£37.32,In stock,Two,https://books.toscrape.com/catalogue/how-music-works_979/index.html
3,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,In stock,Three,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
4,Chase Me (Paris Nights #2),Â£25.27,In stock,Five,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
5,Black Dust,Â£34.53,In stock,Five,https://books.toscrape.com/catalogue/black-dust_976/index.html
6,Birdsong: A Story in Pictures,Â£54.64,In stock,Three,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
7,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,In stock,Three,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
8,Aladdin and His Wonderful Lamp,Â£53.13,In stock,Three,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
9,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,In stock,Five,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
10,Wall and Piece,Â£44.18,In stock,Four,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
11,The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,In stock,Five,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
12,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,In stock,Three,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
13,The Elephant Tree,Â£23.82,In stock,Five,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
14,The Bear and the Piano,Â£36.89,In stock,One,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
15,Sophie's World,Â£15.94,In stock,Five,https://books.toscrape.com/catalogue/sophies-world_966/index.html
16,Penny Maybe,Â£33.29,In stock,Three,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
17,Maude (1883-1993):She Grew Up with the country,Â£18.02,In stock,Two,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
18,"In a Dark, Dark Wood",Â£19.63,In stock,One,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
19,Behind Closed Doors,Â£52.22,In stock,Four,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
20,You can't bury them all: Poems,Â£33.63,In stock,Two,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
21,Slow States of Collapse: Poems,Â£57.31,In stock,Three,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
22,Reasons to Stay Alive,Â£26.41,In stock,Two,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
23,Private Paris (Private #10),Â£47.61,In stock,Five,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
24,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,In stock,Five,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
25,Without Borders (Wanderlove #1),Â£45.07,In stock,Two,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
26,When We Collided,Â£31.77,In stock,One,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
27,"We Love You, Charlie Freeman",Â£50.27,In stock,Five,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
28,Untitled Collection: Sabbath Poems 2014,Â£14.27,In stock,Four,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
29,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,In stock,Four,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
30,Unicorn Tracks,Â£18.78,In stock,Three,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
31,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,In stock,One,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
32,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,In stock,One,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
33,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,In stock,Three,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
34,This One Summer,Â£19.49,In stock,Four,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
35,Thirst,Â£17.27,In stock,Five,https://books.toscrape.com/catalogue/thirst_946/index.html
36,The Torch Is Passed: A Harding Family Story,Â£19.09,In stock,One,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
37,The Secret of Dreadwillow Carse,Â£56.13,In stock,One,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
38,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,In stock,One,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
39,The Past Never Ends,Â£56.50,In stock,Four,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
40,The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,In stock,Three,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
41,The Nameless City (The Nameless City #1),Â£38.16,In stock,Four,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
42,The Murder That Never Was (Forensic Instincts #5),Â£54.11,In stock,Three,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
43,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â£42.96,In stock,Four,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
44,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â£23.89,In stock,Four,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
45,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,In stock,Three,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
46,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,In stock,Five,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
47,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,In stock,One,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
48,The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,In stock,One,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
49,The Death of Humanity: and the Case for Life,Â£58.11,In stock,Four,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
50,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â£49.05,In stock,Three,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
51,The Art Forger,Â£40.76,In stock,Three,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
52,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Â£19.73,In stock,One,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
53,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Â£32.24,In stock,Five,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
54,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,In stock,Four,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
55,Soul Reader,Â£39.58,In stock,Two,https://books.toscrape.com/catalogue/soul-reader_926/index.html
56,Security,Â£39.25,In stock,Two,https://books.toscrape.com/catalogue/security_925/index.html
57,"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,In stock,Three,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
58,"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,In stock,Two,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
59,Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,In stock,Two,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
60,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,In stock,Three,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
61,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,In stock,Five,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
62,Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,In stock,Five,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
63,"Pop Gun War, Volume 1: Gift",Â£18.97,In stock,One,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
64,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Â£36.28,In stock,Two,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
65,Patience,Â£10.16,In stock,Three,https://books.toscrape.com/catalogue/patience_916/index.html
66,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,In stock,Four,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
67,orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,In stock,One,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
68,Online Marketing for Busy Authors: A Step-By-Step Guide,Â£46.35,In stock,One,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
69,On a Midnight Clear,Â£14.07,In stock,Three,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
70,Obsidian (Lux #1),Â£14.86,In stock,Two,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
71,My Paris Kitchen: Recipes and Stories,Â£33.37,In stock,Two,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
72,Masks and Shadows,Â£56.40,In stock,Two,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
73,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â£14.02,In stock,Four,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
74,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,In stock,Two,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
75,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,In stock,Three,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
76,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,In stock,Two,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
77,"Layered: Baking, Building, and Styling Spectacular Cakes",Â£40.11,In stock,One,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
78,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Â£53.90,In stock,Two,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
79,Join,Â£35.67,In stock,Five,https://books.toscrape.com/catalogue/join_902/index.html
80,In the Country We Love: My Family Divided,Â£22.00,In stock,Four,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
